latitude,longitude,cluster
47.3294444,-122.5788889,5
52.664913,-1.034894,6
38.9516667,-92.3338889,8
41.4969444,-71.3677778,7
47.6063889,-122.3308333,5
33.9163889,-118.3516667,4
33.6694444,-117.8222222,4
44.716667,-75.516667,7
40.8666667,-124.0816667,0
47.1302778,-119.2769444,5
51.783333,-0.783333,6
41.36144,-81.812912,7
38.2541667,-85.7594444,8
39.063658,-77.298777,8
37.775,-122.4183333,0
39.9777778,-85.6147222,8
33.9022222,-118.0808333,4
38.2325,-122.6355556,0
-38.662334,178.017649,3
41.9994444,-88.145,7
28.6986111,-81.3083333,2
27.8961111,-81.8433333,2
42.6375,-70.95,7
43.9627778,-70.2830556,7
45.5236111,-122.675,5
46.7163889,-122.9530556,5
37.9736111,-122.53,0
30.3319444,-81.6558333,9
40.2736111,-76.8847222,7
33.5016667,-117.6616667,4
36.7794444,-85.4519444,8
35.1405556,-85.2327778,8
34.085562,-119.060935,4
-37.813938,144.963425,3
33.4483333,-112.0733333,4
38.8002778,-90.6263889,8
34.0633333,-117.65,4
39.143441,-77.20137,8
48.0402778,-122.405,5
52.25,-0.883333,6
43.6666667,-92.9744444,7
25.9561111,-80.1394444,2
42.2711111,-89.0938889,7
27.9011111,-81.5861111,2
42.2711111,-89.0938889,7
43.0852778,-77.9425,7
42.2711111,-89.0938889,7
42.32,-89.0580556,7
37.1272222,-90.45,8
38.2544444,-104.6086111,0
33.8358333,-118.3397222,4
41.4527778,-82.1825,7
32.7947222,-116.9616667,4
-34.928661,138.598633,3
38.8858333,-94.5327778,8
33.6411111,-117.9177778,4
36.0152778,-83.415,8
33.8358333,-118.3397222,4
39.5419444,-77.1083333,8
47.6063889,-122.3308333,5
-34.603723,-58.381593,3
42.3952778,-94.6336111,7
49.25,-123.133333,5
51.514125,-0.093689,6
44.5366667,-122.9058333,5
44.5402778,-123.3663889,5
40.5866667,-122.3905556,0
34.2569444,-85.1647222,9
46.216667,-63.483333,7
28.565,-81.5863889,2
51.416667,-1.716667,6
38.935,-74.9063889,8
4.62977,-74.13401,2
40.7141667,-74.0063889,7
42.9633333,-85.6680556,7
36.6208333,-90.8233333,8
37.5536111,-77.4605556,8
40.7608333,-111.8902778,0
13.727896,100.524123,3
38.6702778,-89.9844444,8
40.668955,-86.134588,7
20.9175,-156.3258333,1
53.166667,-1.0,6
26.6402778,-81.8725,2
39.4561111,-77.9641667,8
-34.45,138.35,3
51.508515,-0.125487,6
33.5833333,-95.9097222,9
40.7966667,-81.5216667,7
43.2136111,-77.9394444,7
32.8794444,-111.7566667,4
47.4158333,-120.2919444,5
41.5569444,-83.6272222,7
64.8377778,-147.7163889,5
